ticker,gics_sector
A,Health Care
AA,Basic Materials
AAL,Industrials
AAP,Consumer Cyclical
AAPL,Information Technology
ABBV,Health Care
ABK,Unknown
ABMD,Unknown
ABNB,Consumer Discretionary
ABS,Unknown
ABT,Health Care
ACAS,Unknown
ACE,Unknown
ACGL,Financials
ACN,Information Technology
ADBE,Information Technology
ADCT,Healthcare
ADI,Information Technology
ADM,Consumer Staples
ADP,Industrials
ADS,Unknown
ADSK,Information Technology
ADT,Industrials
AEE,Utilities
AEP,Utilities
AES,Utilities
AET,Unknown
AFL,Financials
AGN,Unknown
AIG,Financials
AIV,Real Estate
AIZ,Financials
AJG,Financials
AKAM,Information Technology
AKS,Unknown
ALB,Materials
ALGN,Health Care
ALK,Industrials
ALL,Financials
ALLE,Industrials
ALTR,Unknown
ALXN,Unknown
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMG,Financial Services
AMGN,Health Care
AMP,Financials
AMT,Real Estate
AMTM,Industrials
AMZN,Consumer Discretionary
AN,Consumer Cyclical
ANDV,Unknown
ANET,Information Technology
ANF,Consumer Cyclical
ANR,Unknown
ANSS,Unknown
AON,Financials
AOS,Industrials
APA,Energy
APC,Energy
APD,Materials
APH,Information Technology
APO,Financials
APOL,Unknown
APP,Information Technology
APTV,Consumer Discretionary
ARE,Real Estate
ARES,Financials
ARG,Unknown
ARNC,Unknown
ATI,Industrials
ATO,Utilities
ATVI,Unknown
AV,Unknown
AVB,Real Estate
AVGO,Information Technology
AVP,Unknown
AVY,Materials
AWK,Utilities
AXON,Industrials
AXP,Financials
AYE,Unknown
AYI,Industrials
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BALL,Materials
BAX,Health Care
BBBY,Unknown
BBWI,Consumer Cyclical
BBY,Consumer Discretionary
BC,Consumer Cyclical
BCR,Unknown
BDX,Health Care
BEAM,Healthcare
BEN,Financials
BF-B,Consumer Staples
BG,Consumer Staples
BHF,Financial Services
BHI,Unknown
BIG,Unknown
BIIB,Health Care
BIO,Healthcare
BJS,Unknown
BK,Financials
BKNG,Consumer Discretionary
BKR,Energy
BLDR,Industrials
BLK,Financials
BMC,Unknown
BMS,Unknown
BMY,Health Care
BR,Industrials
BRCM,Unknown
BRK-B,Financials
BRO,Financials
BSX,Health Care
BTU,Energy
BWA,Consumer Cyclical
BX,Financials
BXLT,Unknown
BXP,Real Estate
C,Financials
CA,Unknown
CAG,Consumer Staples
CAH,Health Care
CAM,Unknown
CARR,Industrials
CAT,Industrials
CB,Financials
CBE,Unknown
CBOE,Financials
CBRE,Real Estate
CCE,Unknown
CCI,Real Estate
CCL,Consumer Discretionary
CDNS,Information Technology
CDW,Information Technology
CE,Basic Materials
CEG,Utilities
CELG,Unknown
CEPH,Unknown
CERN,Unknown
CF,Materials
CFC,Unknown
CFG,Financials
CFN,Unknown
CHD,Consumer Staples
CHK,Unknown
CHRW,Industrials
CHTR,Communication Services
CI,Health Care
CIEN,Information Technology
CINF,Financials
CL,Consumer Staples
CLF,Basic Materials
CLX,Consumer Staples
CMA,Unknown
CMCSA,Communication Services
CMCSK,Unknown
CME,Financials
CMG,Consumer Discretionary
CMI,Industrials
CMS,Utilities
CNC,Health Care
CNP,Utilities
CNX,Energy
COF,Financials
COHR,Information Technology
COIN,Financials
COL,Unknown
COO,Health Care
COP,Energy
COR,Health Care
COST,Consumer Staples
COTY,Consumer Defensive
COV,Unknown
CPAY,Financials
CPB,Consumer Staples
CPGX,Unknown
CPRI,Consumer Cyclical
CPRT,Industrials
CPT,Real Estate
CPWR,Utilities
CRH,Materials
CRL,Health Care
CRM,Information Technology
CRWD,Information Technology
CSC,Unknown
CSCO,Information Technology
CSGP,Real Estate
CSRA,Unknown
CSX,Industrials
CTAS,Industrials
CTLT,Unknown
CTRA,Energy
CTSH,Information Technology
CTVA,Materials
CTX,Unknown
CTXS,Unknown
CVC,Unknown
CVG,Unknown
CVH,Unknown
CVNA,Consumer Discretionary
CVS,Health Care
CVX,Energy
CXO,Unknown
CZR,Consumer Cyclical
D,Utilities
DAL,Industrials
DASH,Consumer Discretionary
DAY,Unknown
DD,Materials
DDOG,Information Technology
DE,Industrials
DECK,Consumer Discretionary
DELL,Information Technology
DF,Unknown
DFS,Unknown
DG,Consumer Staples
DGX,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DIS,Communication Services
DISCA,Unknown
DISCK,Unknown
DISH,Unknown
DJ,Unknown
DLR,Real Estate
DLTR,Consumer Staples
DNB,Unknown
DNR,Unknown
DO,Unknown
DOC,Real Estate
DOV,Industrials
DOW,Materials
DPS,Unknown
DPZ,Consumer Discretionary
DRE,Unknown
DRI,Consumer Discretionary
DTE,Utilities
DTV,Unknown
DUK,Utilities
DV,Communication Services
DVA,Health Care
DVN,Energy
DWDP,Unknown
DXC,Technology
DXCM,Health Care
DYN,Healthcare
EA,Communication Services
EBAY,Consumer Discretionary
ECL,Materials
ED,Utilities
EFX,Industrials
EG,Financials
EIX,Utilities
EK,Unknown
EL,Consumer Staples
ELV,Health Care
EMC,Unknown
EME,Industrials
EMN,Basic Materials
EMR,Industrials
ENDP,Unknown
ENPH,Technology
EOG,Energy
EP,Energy
EPAM,Information Technology
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financials
ES,Utilities
ESRX,Unknown
ESS,Real Estate
ESV,Unknown
ETFC,Unknown
ETN,Industrials
ETR,Utilities
ETSY,Consumer Cyclical
EVHC,Unknown
EVRG,Utilities
EW,Health Care
EXC,Utilities
EXE,Energy
EXPD,Industrials
EXPE,Consumer Discretionary
EXR,Real Estate
F,Consumer Discretionary
FANG,Energy
FAST,Industrials
FBHS,Unknown
FCX,Materials
FDC,Unknown
FDO,Unknown
FDS,Financials
FDX,Industrials
FE,Utilities
FFIV,Information Technology
FHN,Financial Services
FICO,Information Technology
FII,Unknown
FIS,Financials
FISV,Financials
FITB,Financials
FIX,Industrials
FL,Unknown
FLIR,Unknown
FLR,Industrials
FLS,Industrials
FMC,Basic Materials
FNM,Unknown
FOSL,Consumer Cyclical
FOX,Communication Services
FOXA,Communication Services
FRC,Unknown
FRE,Unknown
FRT,Real Estate
FRX,Unknown
FSLR,Information Technology
FTI,Energy
FTNT,Information Technology
FTR,Unknown
FTV,Industrials
GAS,Unknown
GD,Industrials
GDDY,Information Technology
GE,Industrials
GEHC,Health Care
GEN,Information Technology
GENZ,Unknown
GEV,Industrials
GGP,Unknown
GHC,Consumer Defensive
GILD,Health Care
GIS,Consumer Staples
GL,Financials
GLK,Unknown
GLW,Information Technology
GM,Consumer Discretionary
GMCR,Unknown
GME,Consumer Cyclical
GNRC,Industrials
GNW,Financial Services
GOOGL,Communication Services
GPC,Consumer Discretionary
GPN,Financials
GPS,Unknown
GR,Unknown
GRMN,Consumer Discretionary
GS,Financials
GT,Consumer Cyclical
GWW,Industrials
HAL,Energy
HAR,Unknown
HAS,Consumer Discretionary
HBAN,Financials
HBI,Unknown
HCA,Health Care
HCBK,Unknown
HD,Consumer Discretionary
HES,Unknown
HFC,Unknown
HIG,Financials
HII,Industrials
HLT,Consumer Discretionary
HNZ,Unknown
HOG,Consumer Cyclical
HOLX,Healthcare
HON,Industrials
HOOD,Financials
HOT,Unknown
HP,Energy
HPE,Information Technology
HPQ,Information Technology
HRB,Consumer Cyclical
HRL,Consumer Staples
HSIC,Health Care
HSP,Unknown
HST,Real Estate
HSY,Consumer Staples
HUBB,Industrials
HUM,Health Care
HWM,Industrials
IBKR,Financials
IBM,Information Technology
ICE,Financials
IDXX,Health Care
IEX,Industrials
IFF,Materials
IGT,Unknown
ILMN,Healthcare
INCY,Health Care
INFO,Unknown
INTC,Information Technology
INTU,Information Technology
INVH,Real Estate
IP,Materials
IPG,Unknown
IPGP,Technology
IQV,Health Care
IR,Industrials
IRM,Real Estate
ISRG,Health Care
IT,Information Technology
ITT,Industrials
ITW,Industrials
IVZ,Financials
J,Industrials
JBHT,Industrials
JBL,Information Technology
JCI,Industrials
JCP,Unknown
JDSU,Unknown
JEF,Financial Services
JKHY,Financials
JNJ,Health Care
JNPR,Unknown
JNS,Unknown
JNY,Unknown
JOY,Unknown
JPM,Financials
JWN,Unknown
K,Unknown
KBH,Consumer Cyclical
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KFT,Unknown
KG,Financial Services
KHC,Consumer Staples
KIM,Real Estate
KKR,Financials
KLAC,Information Technology
KMB,Consumer Staples
KMI,Energy
KMX,Consumer Cyclical
KO,Consumer Staples
KR,Consumer Staples
KRFT,Unknown
KSE,Unknown
KSS,Consumer Cyclical
KSU,Unknown
KVUE,Consumer Staples
L,Financials
LDOS,Industrials
LEG,Consumer Cyclical
LEH,Unknown
LEN,Consumer Discretionary
LH,Health Care
LHX,Industrials
LIFE,Financial Services
LII,Industrials
LIN,Materials
LITE,Information Technology
LKQ,Consumer Cyclical
LLL,Unknown
LLTC,Unknown
LLY,Health Care
LM,Unknown
LMT,Industrials
LNC,Financial Services
LNT,Utilities
LO,Unknown
LOW,Consumer Discretionary
LRCX,Information Technology
LSI,Unknown
LULU,Consumer Discretionary
LUMN,Communication Services
LUV,Industrials
LVLT,Unknown
LVS,Consumer Discretionary
LW,Consumer Defensive
LXK,Unknown
LYB,Materials
LYV,Communication Services
M,Consumer Cyclical
MA,Financials
MAA,Real Estate
MAC,Real Estate
MAR,Consumer Discretionary
MAS,Industrials
MAT,Consumer Cyclical
MBI,Financial Services
MCD,Consumer Discretionary
MCHP,Information Technology
MCK,Health Care
MCO,Financials
MDLZ,Consumer Staples
MDP,Unknown
MDT,Health Care
MEE,Unknown
MET,Financials
META,Communication Services
MFE,Unknown
MGM,Consumer Discretionary
MHK,Consumer Cyclical
MHS,Unknown
MI,Consumer Cyclical
MIL,Unknown
MJN,Unknown
MKC,Consumer Staples
MKTX,Financial Services
MLM,Materials
MMI,Real Estate
MMM,Industrials
MNK,Unknown
MNST,Consumer Staples
MO,Consumer Staples
MOH,Healthcare
MOLX,Unknown
MON,Unknown
MOS,Materials
MPC,Energy
MPWR,Information Technology
MRK,Health Care
MRNA,Health Care
MRO,Unknown
MRSH,Financials
MS,Financials
MSCI,Financials
MSFT,Information Technology
MSI,Information Technology
MTB,Financials
MTCH,Communication Services
MTD,Health Care
MU,Information Technology
MUR,Energy
MWW,Unknown
MXIM,Unknown
NAVI,Financial Services
NBL,Unknown
NBR,Energy
NCLH,Consumer Discretionary
NCR,Unknown
NDAQ,Financials
NDSN,Industrials
NE,Energy
NEE,Utilities
NEM,Materials
NFLX,Communication Services
NFX,Unknown
NI,Utilities
NKE,Consumer Discretionary
NKTR,Healthcare
NLSN,Unknown
NOC,Industrials
NOV,Energy
NOVL,Unknown
NOW,Information Technology
NRG,Utilities
NSC,Industrials
NSM,Unknown
NTAP,Information Technology
NTRS,Financials
NUE,Materials
NVDA,Information Technology
NVLS,Unknown
NVR,Consumer Discretionary
NWL,Consumer Defensive
NWS,Communication Services
NWSA,Communication Services
NXPI,Information Technology
NYT,Communication Services
NYX,Unknown
O,Real Estate
ODFL,Industrials
ODP,Unknown
OGN,Healthcare
OI,Consumer Cyclical
OKE,Energy
OMC,Communication Services
OMX,Unknown
ON,Information Technology
ORCL,Information Technology
ORLY,Consumer Discretionary
OTIS,Industrials
OXY,Energy
PANW,Information Technology
PAYC,Technology
PAYX,Industrials
PBCT,Unknown
PBI,Industrials
PCAR,Industrials
PCG,Utilities
PCL,Unknown
PCP,Unknown
PCS,Unknown
PDCO,Unknown
PEG,Utilities
PENN,Consumer Cyclical
PEP,Consumer Staples
PETM,Unknown
PFE,Health Care
PFG,Financials
PG,Consumer Staples
PGN,Unknown
PGR,Financials
PH,Industrials
PHM,Consumer Discretionary
PKG,Materials
PLD,Real Estate
PLL,Unknown
PLTR,Information Technology
PM,Consumer Staples
PNC,Financials
PNR,Industrials
PNW,Utilities
PODD,Health Care
POM,Healthcare
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PRGO,Healthcare
PRU,Financials
PSA,Real Estate
PSKY,Communication Services
PSX,Energy
PTC,Information Technology
PTV,Unknown
PVH,Consumer Cyclical
PWR,Industrials
PXD,Unknown
PYPL,Financials
Q,Information Technology
QCOM,Information Technology
QEP,Unknown
QRVO,Technology
R,Industrials
RAI,Unknown
RCL,Consumer Discretionary
RDC,Unknown
REG,Real Estate
REGN,Health Care
RF,Financials
RHI,Industrials
RHT,Unknown
RIG,Energy
RJF,Financials
RL,Consumer Discretionary
RMD,Health Care
ROK,Industrials
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RRC,Energy
RRD,Unknown
RSG,Industrials
RSH,Unknown
RTN,Unknown
RTX,Industrials
RVTY,Health Care
RX,Unknown
S,Technology
SAI,Unknown
SATS,Communication Services
SBAC,Real Estate
SBL,Unknown
SBNY,Financial Services
SBUX,Consumer Discretionary
SCG,Unknown
SCHW,Financials
SE,Consumer Cyclical
SEDG,Technology
SEE,Consumer Cyclical
SGP,Healthcare
SHLD,Unknown
SHW,Materials
SIAL,Unknown
SIG,Consumer Cyclical
SII,Financial Services
SIVB,Unknown
SJM,Consumer Staples
SLB,Energy
SLE,Communication Services
SLG,Real Estate
SLM,Financial Services
SLR,Unknown
SMCI,Information Technology
SNA,Industrials
SNDK,Information Technology
SNI,Unknown
SNPS,Information Technology
SO,Utilities
SOLS,Basic Materials
SOLV,Health Care
SPG,Real Estate
SPGI,Financials
SPLS,Unknown
SRCL,Unknown
SRE,Utilities
STE,Health Care
STI,Industrials
STJ,Unknown
STLD,Materials
STR,Unknown
STT,Financials
STX,Information Technology
STZ,Consumer Staples
SUN,Energy
SVU,Unknown
SW,Materials
SWK,Industrials
SWKS,Information Technology
SWN,Unknown
SWY,Unknown
SYF,Financials
SYK,Health Care
SYY,Consumer Staples
T,Communication Services
TAP,Consumer Staples
TDC,Technology
TDG,Industrials
TDY,Information Technology
TE,Industrials
TECH,Health Care
TEG,Unknown
TEL,Information Technology
TER,Information Technology
TFC,Financials
TFX,Healthcare
TGNA,Communication Services
TGT,Consumer Staples
THC,Healthcare
TIE,Unknown
TIF,Unknown
TJX,Consumer Discretionary
TKO,Communication Services
TLAB,Unknown
TMO,Health Care
TMUS,Communication Services
TPL,Energy
TPR,Consumer Discretionary
TRB,Unknown
TRGP,Energy
TRIP,Consumer Cyclical
TRMB,Information Technology
TROW,Financials
TRV,Financials
TSCO,Consumer Discretionary
TSG,Unknown
TSLA,Consumer Discretionary
TSN,Consumer Staples
TSS,Unknown
TT,Industrials
TTD,Communication Services
TTWO,Communication Services
TWC,Unknown
TWTR,Unknown
TWX,Unknown
TXN,Information Technology
TXT,Industrials
TYC,Unknown
TYL,Information Technology
UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,Industrials
UBER,Industrials
UDR,Real Estate
UHS,Health Care
ULTA,Consumer Discretionary
UNH,Health Care
UNM,Financial Services
UNP,Industrials
UPS,Industrials
URBN,Consumer Cyclical
URI,Industrials
USB,Financials
V,Financials
VAR,Unknown
VFC,Consumer Cyclical
VIAB,Unknown
VICI,Real Estate
VLO,Energy
VLTO,Industrials
VMC,Materials
VNO,Real Estate
VNT,Technology
VRSK,Industrials
VRSN,Information Technology
VRT,Industrials
VRTX,Health Care
VST,Utilities
VTR,Real Estate
VTRS,Health Care
VZ,Communication Services
WAB,Industrials
WAT,Health Care
WB,Communication Services
WBA,Unknown
WBD,Communication Services
WCG,Unknown
WDAY,Information Technology
WDC,Information Technology
WEC,Utilities
WELL,Real Estate
WFC,Financials
WFM,Unknown
WFR,Unknown
WHR,Consumer Cyclical
WIN,Unknown
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WPX,Unknown
WRB,Financials
WSM,Consumer Discretionary
WST,Health Care
WTW,Financials
WU,Financial Services
WY,Real Estate
WYN,Unknown
WYNN,Consumer Discretionary
X,Unknown
XEC,Unknown
XEL,Utilities
XL,Unknown
XLNX,Unknown
XOM,Energy
XRAY,Healthcare
XRX,Industrials
XTO,Unknown
XYL,Industrials
XYZ,Financials
YHOO,Unknown
YUM,Consumer Discretionary
ZBH,Health Care
ZBRA,Information Technology
ZION,Financial Services
ZTS,Health Care
